,filename,Rating_Valence,Rating_Arousal,F0,F1-Mean,F2-Mean,F3-Mean,F1 - Bandwidth,F2 - Bandwidth,F3 - Bandwidth+,Intensity,Intensity - SD,Spectral Centroid,Spectral Centroid - SD
940,792,2.86666667,2.82352941,85.5116471,566.4,1839.58,2842.43,138.54,323.79,231.34,70.44,11.65,365.004333,413.828383
941,155,1.66666667,2.5625,81.8555796,785.79,2097.29,2839.62,249.87,450.32,611.14,70.39,8.47,475.029313,1184.82333
942,1044,2.35714286,3.5,81.3181466,1152.77,2232.94,2950.92,384.66,365.25,445.68,70.44,8.8,1712.94854,2546.25429
943,545,1.71428571,2.76470588,81.5840237,1010.65,2212.93,2914.61,370.36,546.94,535.32,70.51,9.72,1438.80649,3060.76717
944,583,3.72727273,2.85714286,79.1646588,784.87,1846.58,2560.87,286.46,551.81,359.33,70.47,11.28,620.686472,1601.10928
945,209,2.11764706,3.66666667,78.9324005,961.67,1896.22,2835.73,342.45,369.11,457.89,70.39,9.91,1015.77899,1838.84615
946,567,2.53846154,2.73333333,83.6941388,720.16,1674.63,2767.02,445.66,283.44,528.44,70.65,14.0,473.014113,530.336294
947,946,2.61111111,3.47058824,86.2878023,772.29,1804.07,2776.79,434.85,391.47,585.15,70.39,14.12,371.770961,591.631057
948,849,2.25,2.58333333,79.7938572,571.53,1459.48,2707.85,202.79,382.37,141.3,70.45,9.21,221.647884,235.438881
949,716,3.125,2.23529412,86.1999147,834.97,2209.71,3026.13,411.4,590.43,498.1,70.51,11.61,383.690335,968.087312
950,184,3.23076923,2.22222222,80.3258141,710.69,1813.36,2685.36,249.9,491.81,392.29,70.5,8.99,334.275268,424.999097
951,192,2.47058824,3.52941176,84.5149408,914.2,1780.96,2868.65,328.79,787.27,641.25,70.37,11.56,1160.54499,2446.39145
952,805,2.92857143,2.11764706,77.4834583,600.32,1535.66,2780.54,358.88,404.73,265.34,70.65,12.6,415.534375,453.859844
953,536,2.57142857,3.11764706,81.265531,535.58,1338.79,2705.13,320.81,218.54,245.99,70.39,9.43,485.668139,427.835479
954,63,2.33333333,3.41176471,82.6599975,1034.32,2051.63,2776.59,409.65,686.63,378.51,70.41,10.9,965.47233,1773.59897
955,526,2.88888889,2.75,80.1140728,904.75,2016.99,2824.17,298.51,602.21,466.74,70.63,11.88,277.151396,556.644925
956,428,2.57142857,2.05882353,76.7533889,828.09,1797.98,2605.3,359.47,421.88,337.71,70.63,12.11,565.307695,484.192652
957,729,2.16666667,3.11764706,90.8750499,1071.3,2227.89,3039.95,411.69,700.9,558.79,70.29,12.57,1203.21704,2296.84477
958,757,3.11111111,2.23529412,83.3095524,734.28,1653.14,2784.63,239.52,266.8,211.85,70.41,15.44,295.331629,455.691062
959,687,2.92857143,2.82352941,78.9564081,758.66,1858.77,2743.87,252.62,363.92,382.11,70.46,8.07,436.518068,794.533396
960,386,2.75,3.2,80.5753508,864.94,1911.58,2634.9,385.71,378.89,705.62,70.44,10.09,680.117504,1546.14641
961,943,3.11111111,2.05882353,81.9526001,632.59,1857.98,2703.13,369.86,432.67,413.17,70.52,9.26,227.01567,268.992884
962,233,2.75,2.52941176,79.8007735,916.65,1729.08,2781.71,409.74,492.25,448.36,70.6,12.86,315.155778,477.415131
963,52,2.64285714,3.33333333,82.8606979,883.92,1871.0,2818.78,349.29,583.2,353.46,70.31,9.28,897.937594,2030.2697
964,119,2.78571429,2.88235294,86.3619161,861.52,2170.23,2996.89,248.91,737.07,341.36,70.38,11.32,464.75642,1378.4222
965,356,2.64285714,2.44444444,79.3092409,801.81,1737.64,2726.49,270.63,595.67,339.25,70.42,11.16,345.200321,394.956576
966,709,2.5,3.27777778,81.7267233,1017.55,2350.8,3017.55,313.96,465.73,402.58,70.44,8.66,1127.13165,2256.5577
967,693,2.5,3.64705882,80.0695924,963.25,1937.29,2930.96,300.39,440.86,475.36,70.55,7.1,874.094504,1698.84247
968,911,3.0,3.30769231,83.8521775,897.9,1652.91,2836.84,329.1,559.92,391.4,70.33,13.18,699.30715,1936.29848
969,975,2.6,2.58823529,85.7107717,735.75,1767.54,2804.13,246.54,477.67,530.84,70.37,12.46,287.136891,315.744355
970,527,2.88888889,2.52941176,82.061036,721.98,2065.57,2941.09,192.82,496.42,468.71,70.4,11.45,268.349364,661.326753
971,315,3.16666667,2.94117647,86.075838,879.34,2069.42,2865.57,340.03,491.29,582.01,70.42,10.55,680.208409,1599.21786
972,1034,2.61111111,4.17647059,87.5897191,954.44,2070.42,2660.82,366.81,565.77,643.37,70.65,11.64,1634.65921,2959.72387
973,915,2.85714286,3.33333333,81.2471114,874.99,1839.22,2712.86,280.29,454.52,356.11,70.37,11.62,760.556867,1590.52735
974,447,3.0,2.75,79.5443544,584.22,1897.38,2639.3,160.16,282.87,352.8,70.57,9.56,297.83443,410.223803
975,444,3.22222222,2.41176471,81.6312663,557.44,1733.29,2689.6,236.95,395.42,511.83,70.35,8.26,328.230252,416.559496
976,652,3.14285714,3.22222222,84.0451806,675.24,1637.35,2644.0,188.25,234.23,261.33,70.41,10.15,570.09019,560.546141
977,659,3.17647059,3.41666667,83.1660326,995.12,2061.74,2773.1,310.25,404.3,391.6,70.37,8.5,706.241815,1779.4136
978,1008,2.5,4.0,85.1120256,923.1,1968.92,2939.04,415.56,470.25,449.04,70.57,9.63,2604.27195,3337.73332
979,279,3.05882353,2.3125,94.905807,597.09,1440.97,2756.3,230.84,487.17,375.38,70.42,7.24,396.882249,1031.65774
980,776,2.55555556,2.94117647,80.1415653,981.71,1914.46,2932.2,318.32,602.85,267.28,70.42,12.67,683.091418,1683.14555
981,278,2.75,1.875,86.4577037,477.03,1518.62,2774.4,217.08,417.15,605.7,70.51,7.45,291.820825,381.493233
982,377,2.46666667,2.70588235,91.306525,708.33,1748.14,2707.85,282.36,552.0,585.7,70.31,11.06,291.11517,649.621766
983,680,2.92307692,3.29411765,88.5733236,1013.64,2002.67,2911.23,190.43,250.23,335.63,70.42,11.49,707.253715,1099.97604
984,236,2.61538462,2.5,81.8573173,739.15,1910.19,2814.99,302.05,405.11,831.22,70.57,11.74,295.324063,331.695844
985,406,3.41176471,2.07692308,79.1211964,650.91,1731.04,2764.79,180.72,370.81,340.45,70.49,7.91,364.452784,473.669977
986,178,3.14285714,3.38888889,89.5288508,844.54,1897.68,2726.36,332.21,431.33,486.45,70.37,10.85,275.609568,537.525674
987,306,3.33333333,2.29411765,82.33628,699.33,1681.9,2804.61,264.35,346.07,253.68,70.39,11.06,327.140256,341.783915
